2023-02-05 01:11:46 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> id: downloadButton]
2023-02-05 01:11:46 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> id: downloadButton]
2023-02-05 01:11:55 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:11:57 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:11:57 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:57 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:57 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:58 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.id: uploadFile
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadFile
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.id: uploadedFilePath
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadedFilePath
2023-02-05 01:11:58 INFO  WebdriverEvents:168 - Getting text from [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> id: uploadedFilePath]
2023-02-05 01:11:58 INFO  WebdriverEvents:174 - Got text from [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> id: uploadedFilePath]
2023-02-05 01:17:43 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:17:46 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:17:46 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:17:46 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:17:46 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (af741e23-a243-4ee8-8c41-9217e47d1543)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:17:46 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (af741e23-a243-4ee8-8c41-9217e47d1543)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:17:46 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:17:46 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:17:46 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:17:46 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:17:46 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (af741e23-a243-4ee8-8c41-9217e47d1543)] -> id: downloadButton]
2023-02-05 01:17:46 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (af741e23-a243-4ee8-8c41-9217e47d1543)] -> id: downloadButton]
2023-02-05 01:19:39 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:19:41 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:19:41 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:19:41 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:19:41 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (ad16a05e524ac787d553dc36207188af)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:19:41 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (ad16a05e524ac787d553dc36207188af)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:19:41 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:19:41 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:19:41 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:19:41 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:19:41 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (ad16a05e524ac787d553dc36207188af)] -> id: downloadButton]
2023-02-05 01:19:41 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (ad16a05e524ac787d553dc36207188af)] -> id: downloadButton]
2023-02-05 01:21:27 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:21:29 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:21:29 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:21:29 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:21:29 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (a2f4044eb48ceaa17cb5927d56025f9c)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:21:29 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (a2f4044eb48ceaa17cb5927d56025f9c)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:21:29 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:21:29 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:21:29 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:21:29 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:21:29 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (a2f4044eb48ceaa17cb5927d56025f9c)] -> id: downloadButton]
2023-02-05 01:21:29 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (a2f4044eb48ceaa17cb5927d56025f9c)] -> id: downloadButton]
2023-02-05 01:21:56 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:21:58 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:21:58 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
